year,1-gram,count-sum,count-mean
2024,west,680,2.537313432835821
2024,during,679,1.7636363636363637
2023,women,678,1.5374149659863945
2024,under,677,1.7403598971722365
2023,authorities,676,1.498891352549889
2023,others,672,1.2775665399239544
2023,northern,671,1.4399141630901287
2023,go,671,1.5938242280285035
2021,killed,670,2.6070038910505837
2021,rights,670,3.116279069767442
2023,residents,669,1.5890736342042755
2023,live,667,1.4161358811040339
2023,hundreds,661,1.3167330677290836
2023,hours,661,1.4093816631130065
2023,shot,661,1.932748538011696
2023,want,659,1.6271604938271604
2023,place,659,1.3367139959432048
2023,amid,659,1.2648752399232246
2023,down,659,1.3101391650099403
2022,or,657,2.313380281690141
2021,east,657,2.5866141732283463
2023,began,657,1.360248447204969
2023,land,657,1.7901907356948228
2023,call,654,1.4863636363636363
2023,displaced,652,1.613861386138614
2021,military,650,2.610441767068273
2023,stop,650,1.4508928571428572
2024,least,648,1.5576923076923077
2023,need,648,1.3995680345572354
2023,council,646,2.0974025974025974
2023,launched,646,1.2592592592592593
2023,saturday,645,1.6370558375634519
2023,families,644,1.6902887139107612
2023,thursday,643,1.7425474254742548
2023,truce,642,2.5783132530120483
2024,like,641,1.9723076923076923
2023,anti,641,2.727659574468085
2022,rights,640,2.8699551569506725
2022,military,637,2.412878787878788
2023,2,637,1.2613861386138614
2023,wounded,637,1.4883177570093458
2023,come,636,1.3446088794926003
2023,assault,635,1.32016632016632
2023,came,634,1.2480314960629921
2023,taken,634,1.3547008547008548
2024,city,634,1.9154078549848943
2022,there,631,2.3284132841328415
2023,national,630,1.5517241379310345
2024,how,630,1.4754098360655739
2023,saying,628,1.3083333333333333
2023,injured,627,1.4787735849056605
2024,unrwa,625,5.681818181818182
2023,must,624,1.5072463768115942
2024,year,623,1.916923076923077
2021,palestine,623,3.0096618357487923
2023,see,623,1.4624413145539905
2023,weeks,623,1.266260162601626
2021,one,622,2.3923076923076922
2023,american,622,2.1374570446735395
2021,international,621,2.5555555555555554
